outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,2,0.2625617796,0.4821798578,0.5860762654,-0.6825107417,1.2076343009,2025-09,49
top3_mean_consumption,3,-0.0782912,0.462341558,0.8655321399,-0.9844806536,0.8278982536,2025-09,49
top3_mean_consumption,4,-0.0465919102,0.498111181,0.9254768218,-1.022889825,0.9297060046,2025-09,49
top3_mean_consumption,5,-0.1242055347,0.4931707793,0.8011562654,-1.0908202622,0.8424091928,2025-09,49
top3_mean_consumption,-12,-0.9471042988,0.4457582725,0.0336113356,-1.820790513,-0.0734180846,2025-10,50
top3_mean_consumption,-11,-0.9331505545,0.4573479935,0.0413153528,-1.8295526218,-0.0367484872,2025-10,50
top3_mean_consumption,-10,-1.2041622203,0.4562091824,0.0083029452,-2.0983322177,-0.3099922228,2025-10,50
top3_mean_consumption,-9,-1.0559146367,0.4897221817,0.0310719297,-2.0157701128,-0.0960591607,2025-10,50
top3_mean_consumption,-8,-0.9726085176,0.5540231572,0.0791673846,-2.0584939057,0.1132768704,2025-10,50
top3_mean_consumption,-7,-0.9522406056,0.4852084058,0.0496997201,-1.903249081,-0.0012321303,2025-10,50
top3_mean_consumption,-6,-1.1787805656,0.4345031901,0.0066689421,-2.0304068182,-0.3271543131,2025-10,50
top3_mean_consumption,-5,-0.7024484136,0.356656344,0.0488912819,-1.4014948478,-0.0034019795,2025-10,50
top3_mean_consumption,-4,-0.9483804471,0.4156267972,0.022500693,-1.7630089696,-0.1337519246,2025-10,50
top3_mean_consumption,-3,-0.8760155876,0.4279143469,0.0406408972,-1.7147277076,-0.0373034676,2025-10,50
top3_mean_consumption,-2,-0.4369490987,0.3190270592,0.1708023637,-1.0622421348,0.1883439373,2025-10,50
top3_mean_consumption,0,0.1663463146,0.3886365771,0.66863265,-0.5953813764,0.9280740056,2025-10,50
top3_mean_consumption,1,-0.0235613644,0.3799377222,0.950551879,-0.7682393,0.7211165712,2025-10,50
top3_mean_consumption,2,0.0774017336,0.4325483246,0.8579820252,-0.7703929827,0.9251964498,2025-10,50
top3_mean_consumption,3,-0.0184814859,0.4678250378,0.9684876688,-0.9354185599,0.8984555882,2025-10,50
top3_mean_consumption,4,-0.0828977227,0.4742388463,0.8612355085,-1.0124058615,0.846610416,2025-10,50
top3_mean_consumption,-12,-0.3269843312,0.2477361716,0.1868719683,-0.8125472275,0.1585785652,2025-11,148
top3_mean_consumption,-11,-0.4187664404,0.2683164411,0.1185901782,-0.944666665,0.1071337842,2025-11,148
top3_mean_consumption,-10,-0.2869867263,0.2629581648,0.2751066385,-0.8023847294,0.2284112768,2025-11,148
top3_mean_consumption,-9,-0.4264843592,0.2661725881,0.1090925895,-0.9481826318,0.0952139134,2025-11,148
top3_mean_consumption,-8,-0.2557732166,0.2253998778,0.2564787697,-0.6975569771,0.1860105438,2025-11,148
top3_mean_consumption,-7,-0.1699061593,0.2003819763,0.3964873228,-0.5626548328,0.2228425142,2025-11,148
top3_mean_consumption,-6,-0.2448519193,0.2115983862,0.2472094469,-0.6595847562,0.1698809175,2025-11,148
top3_mean_consumption,-5,-0.1173016665,0.2232891704,0.5993501746,-0.5549484405,0.3203451076,2025-11,148
top3_mean_consumption,-4,0.3155291824,0.2072623588,0.1279173818,-0.0907050408,0.7217634057,2025-11,148
top3_mean_consumption,-3,-0.0014204536,0.2238682759,0.9949374228,-0.4402022744,0.4373613672,2025-11,148
top3_mean_consumption,-2,0.0300678246,0.1797370937,0.8671435958,-0.3222168789,0.3823525282,2025-11,148
top3_mean_consumption,0,-0.0997557359,0.1895478591,0.5986918862,-0.4712695397,0.2717580679,2025-11,148
top3_mean_consumption,1,-0.0060187997,0.2201540244,0.978189319,-0.4375206875,0.4254830881,2025-11,148
top3_mean_consumption,2,-0.1176777518,0.2314917221,0.6112111372,-0.5714015271,0.3360460235,2025-11,148
top3_mean_consumption,3,0.1216083623,0.2334671588,0.6024504025,-0.3359872688,0.5792039935,2025-11,148
top3_mean_consumption,-12,-0.4354674342,0.2501804957,0.0817514296,-0.9258212059,0.0548863374,2025-12,121
top3_mean_consumption,-11,-0.5055541769,0.2502253843,0.0433424062,-0.9959959301,-0.0151124237,2025-12,121
top3_mean_consumption,-10,-0.4955067468,0.2550986351,0.0520871979,-0.9955000716,0.0044865781,2025-12,121
top3_mean_consumption,-9,-0.2927902579,0.2533658911,0.2478437839,-0.7893874044,0.2038068887,2025-12,121
top3_mean_consumption,-8,-0.5306728146,0.265583692,0.0457017225,-1.0512168509,-0.0101287782,2025-12,121
top3_mean_consumption,-7,-0.6038249463,0.2738475213,0.0274563593,-1.1405660881,-0.0670838046,2025-12,121
top3_mean_consumption,-6,-0.8502488334,0.2747546341,0.0019709507,-1.3887679162,-0.3117297507,2025-12,121
top3_mean_consumption,-5,-0.6837111507,0.2663562651,0.0102610807,-1.2057694303,-0.1616528712,2025-12,121
top3_mean_consumption,-4,-0.8116477774,0.2649415898,0.0021876637,-1.3309332934,-0.2923622615,2025-12,121
top3_mean_consumption,-3,-0.8411728404,0.228902753,0.0002380317,-1.2898222363,-0.3925234445,2025-12,121
top3_mean_consumption,-2,-0.3063732584,0.2064062496,0.1377236178,-0.7109295076,0.0981829908,2025-12,121
top3_mean_consumption,0,0.05811501,0.1938209849,0.7643002815,-0.3217741203,0.4380041403,2025-12,121
top3_mean_consumption,1,0.2248173363,0.1991254575,0.2588878878,-0.1654685603,0.6151032329,2025-12,121
top3_mean_consumption,2,-0.0698229108,0.2068444885,0.7356930215,-0.4752381083,0.3355922866,2025-12,121
